Rank,KOL,Point
1,solana,0.006713314675306791
2,TagadoBTC,0.006060782130327121
3,SolanaStatus,0.005769225035761222
4,SovrynBTC,0.005755341364591444
5,GbElrondCrypto,0.005075041477282711
6,AmuletProtocol,0.004866786409740344
7,ALEXLabBTC,0.00347841929303679
8,bitgetglobal,0.003464535621865864
9,SolanaFloor,0.0033534662524982274
10,TeaMemeCoin,0.003242396883130571
11,BTC_Archive,0.0032007458696176817
12,WuBlockchain,0.0030896765002500445
13,MMCrypto,0.0030896765002500445
14,BitcoinNewsCom,0.0030757928290790636
15,lord_of_crypto_,0.0030757928290790636
16,Ashcryptoreal,0.0030757928290790636
17,defipulse,0.0030757928290790636
18,defi_airdrops,0.0030757928290790636
19,thedefiedge,0.0030757928290790636
20,Web3WithBinance,0.0030757928290790636
21,blockchain,0.0030619091579081057
22,web3isgreat,0.0030619091579081057
23,bitcoin_brown,0.0030480254867372124
24,mstor168,0.0030480254867372124
25,CryptoTony__,0.003034141815566278
26,DefiIgnas,0.003034141815566278
27,BitgetWallet,0.003034141815566278
28,nft_paris,0.003034141815566278
29,TheJanaNFT,0.003034141815566278
30,SolanaSensei,0.003034141815566278
31,BTCTN,0.003020258144395346
32,Cardano,0.003020258144395346
33,Crypto_Crib_,0.003020258144395346
34,Btcexpertindia,0.003006374473224418
35,DefiLlama,0.003006374473224418
36,BentoBoiNFT,0.003006374473224418
37,NathanHeadPhoto,0.003006374473224418
38,solana_daily,0.003006374473224418
39,TheCoffeeBlock,0.0029924908020534883
40,DiarioBitcoin,0.0029786071308825464
41,cryptodotnew,0.0029786071308825464
42,NftPinuts,0.0029786071308825464
43,CryptoStache,0.0029647234597115564
44,ArtOnBlockchain,0.002950839788540613
45,leonardnftpage,0.002950839788540613
46,BitcoinFear,0.0029369561173696692
47,Bitcoin,0.0029230724461987074
48,GVRCALLS,0.0029230724461987074
49,AL_theDeFiMaxi,0.002909188775027764
50,realScamSniffer,0.002909188775027764
51,CryptoXMessi,0.0028953051038568332
52,NFTWhistledown,0.0028953051038568332
53,BTC_JackSparrow,0.0028814214326858692
54,CryptoDefiLord,0.0028814214326858692
55,NFTupdate,0.0028814214326858692
56,SuperchiefNFT,0.0028814214326858692
57,BeckyQuick,0.0028675377615149465
58,LeaksBlockchain,0.00285365409034401
59,CryptoKemal,0.00285365409034401
60,CryptoJobsList,0.00285365409034401
61,Dackie_Official,0.00285365409034401
62,nft_drop_here_,0.00285365409034401
63,blockchainrptr,0.002839770419173071
64,Web_3space,0.002839770419173071
65,MoodyOwlNFT,0.002839770419173071
66,Drop_Your_NFT_,0.002839770419173071
67,StarcoinSTC,0.0028258867480021226
68,SwftCoin,0.0028258867480021226
69,partisiampc,0.0028258867480021226
70,CryptoYoda1338,0.0028258867480021226
71,TheCryptoLark,0.0028258867480021226
72,Dexsport_io,0.0028258867480021226
73,ReadOnMe3,0.0028258867480021226
74,ETH_Daily,0.0028120030768312033
75,Bitcoin_Teej,0.0027981194056602337
76,BlockChain_CK,0.0027981194056602337
77,yourcryptodj,0.0027981194056602337
78,iSafePal,0.0027981194056602337
79,Lily_Crypt0,0.0027981194056602337
