Rank,KOL,Point
1,MMCrypto,0.024191237288217277
2,lord_of_crypto_,0.024191237288217277
3,TagadoBTC,0.023863684301703034
4,CryptoTony__,0.023863684301703034
5,Ashcryptoreal,0.023863684301703034
6,Crypto_Crib_,0.023754499972864968
7,cryptodotnew,0.0233177626575129
8,CryptoStache,0.0233177626575129
9,GVRCALLS,0.022881025342160834
10,CryptoDefiLord,0.022662656684484705
11,CryptoKemal,0.022444288026808576
12,CryptoYoda1338,0.022225919369132353
13,TheCryptoLark,0.022116735040294242
14,yourcryptodj,0.022007550711456127
15,Lily_Crypt0,0.022007550711456127
16,iSafePal,0.021898366382618013
17,TomCrownCrypto,0.021898366382618013
18,beincrypto,0.021679997724941787
19,CoinGapeMedia,0.021679997724941787
20,CryptoBusy,0.021570813396103665
21,ColsonCrypto,0.021461629067265547
22,cryptoterry,0.020806523094236768
23,Gems_1000x,0.020588154436560514
24,hiRavenCrypto,0.02047897010772239
25,crypto_bearr,0.020369785778884604
26,Evaa_Crypto,0.020151417121208458
27,CryptoWizardd,0.020042232792370395
28,GbElrondCrypto,0.0197146798058559
29,0xSkip,0.019496311148180092
30,MarcusDuxCrypto,0.019059573832827248
31,Artmancrypto,0.01873202084631426
32,ranaweay,0.01807691487328584
33,ImCryptoMessiah,0.015565675310081111
34,CryptoEmdarks,0.015347306652403976
35,cryptohorsesgl,0.014692200679372526
36,CryptoGarga,0.014037094706341232
37,CryptoZykee,0.010652380512346097
