Rank,KOL,Point
1,solana,0.03376900607320606
2,SolanaFloor,0.025394086047321816
3,SolanaSensei,0.023653842925110656
4,NathanHeadPhoto,0.02354507772997247
5,leonardnftpage,0.023110016949419703
6,solana_daily,0.023001251754281454
7,SolanaStatus,0.022674956168866695
8,ReadOnMe3,0.022131130193175353
9,TeaMemeCoin,0.021587304217482978
10,SolanaUnivers,0.021587304217482978
11,Solana_Emperor,0.021261008632068226
12,WUFFI_Inu,0.0208259478515149
13,okzoo_app,0.020608417461238083
14,donotfomoew,0.020499652266099837
15,AmuletProtocol,0.01919446992443979
16,SolanaMBS,0.019085704729301527
17,SolanaLegend,0.01843311355846649
18,gm_dot_ai,0.018324348363327414
19,DrSolanaNFT,0.018215583168188432
20,crypto_20x,0.01810681797304872
21,SolanaPrincess,0.017019166021659884
22,solflare_wallet,0.016475340045965597
23,micsolana,0.01625780965568857
24,wcoin_io,0.01614904446054839
25,SolanaExpert_1,0.016040279265409005
26,StepFinance_,0.01582274887512945
27,TheSolanaCalls,0.015496453289713405
28,TrojanOnSolana,0.015278922899437362
29,Barndog_Solana,0.01484386211888525
30,Rl00l18,0.014408801338333128
31,intent_trade,0.01266855821612427
32,MyroSOL,0.012451027825848155
33,evergrowcoinEGC,0.012451027825848155
34,SolNftFinder,0.012015967045295962
35,gmcatcoin,0.011363375874467518
36,1_llI,0.011363375874467518
37,solanamobile,0.009840663142535611
38,Gradient_HQ,0.009840663142535611
39,SolanaFndn,0.009840663142535611
40,Swap_Solana,0.0079916548252187
