Rank,KOL,Point
1,BTC_Archive,0.01833406997870628
2,BitcoinNewsCom,0.01833406997870628
3,bitcoin_brown,0.018168539306844995
4,TagadoBTC,0.018085773970915923
5,BTCTN,0.018003008634984722
6,Btcexpertindia,0.017920243299053774
7,DiarioBitcoin,0.017754712627183162
8,BitcoinFear,0.017423651283446886
9,Bitcoin,0.017258120611580597
10,BTC_JackSparrow,0.017175355275649673
11,BeckyQuick,0.017092589939714166
12,SovrynBTC,0.01700982460378428
13,Bitcoin_Teej,0.016678763260050654
14,BitcoinDogsClub,0.01651323258818502
15,btcabi,0.016430467252250787
16,Bitcoin_Buddah,0.01618217124444035
17,BitcoinCats1Cat,0.015933875236637248
18,bitcoingold,0.015851109900702428
19,BitcoinChina_,0.01568557922882665
20,w_s_bitcoin,0.01568557922882665
21,PortaltoBitcoin,0.015602813892891598
22,BitcoinSapiens,0.015520048556963489
23,bitcoinsnack,0.015271752549179163
24,ALEXLabBTC,0.015023456541394843
25,JoeSquawk,0.015023456541394843
26,Bedrock_DeFi,0.014940691205466736
27,pete_rizzo_,0.01485792586953863
28,bitcoinprivate,0.01427856851804193
29,realmuster,0.014030272510257631
30,fractal_bitcoin,0.013947507174329531
31,BVMnetwork,0.01295432314319209
32,BitcoinMemeHub,0.012706027135407737
33,rockyrabbitio,0.012706027135407737
34,TheBitcoinConf,0.012292200455767326
35,Bitcoinbeach,0.010967955081008287
36,BTCFoundation,0.010885189745081477
37,BitcoinPierre,0.010554128401407755
38,MEonBTC,0.010305832393663499
39,BitcoinTina,0.010223067057746825
40,elBitcoin,0.00972647504224812
41,CryptoXMessi,0.008484995003295855
42,LizBitcoin,0.00782287231585297
43,catdrivebitcoin,0.007574576308062197
44,BitcoinFrogs,0.006829688284689889
45,SwanBitcoin,0.0062503309331780965
46,BenjaminBitcoin,0.0060848002613175835
47,BitcoinIsSaving,0.005919269589457072
48,SteveCote1974,0.005670973581666627
49,bitcoin_dad,0.005670973581666627
50,bitcoinagile,0.005505442909806201
