Rank,KOL,Point
1,0xChar,0.12866774045085178
2,solnftradar,0.11263000460180064
3,TeaMemeCoin,0.05649792913023555
4,catecoin,0.042063966866084455
5,Memeland,0.03725264611136795
6,CryptoDefiGems,0.0196111366774057
7,WaterMemeCoin,0.0196111366774057
8,CryptoTickers,0.0196111366774057
9,meme_capybara,0.0196111366774057
10,ZenCoinOnTon,0.0196111366774057
11,MemeCatsXYZ,0.0196111366774057
12,TurboToadToken,0.0196111366774057
13,MarkRichterSOL,0.0196111366774057
14,memecoin_degens,0.0196111366774057
15,BitBonk_inu,0.0196111366774057
16,WinStupidPrizes,0.018007363092500107
17,MemeCoinOwner,0.018007363092500107
18,hippo_cto,0.018007363092500107
19,CosmosHOSS,0.018007363092500107
