Rank,KOL,Point
1,TheJanaNFT,0.019771940602071637
2,nft_paris,0.019681447681783225
3,BentoBoiNFT,0.01959095476151942
4,NftPinuts,0.019409968920950864
5,NFTWhistledown,0.018867011399387124
6,NFTupdate,0.018776518479130328
7,SuperchiefNFT,0.018776518479130328
8,Dackie_Official,0.018595532638619277
9,nft_drop_here_,0.018595532638619277
10,MoodyOwlNFT,0.018505039718363318
11,Drop_Your_NFT_,0.018505039718363318
12,SolanartNFT,0.018143068037341573
13,AirdropKart,0.01805257511708743
14,NFTs2Me,0.01778109635632667
15,ranpromoter,0.01778109635632667
16,MichaelM_NFT,0.017690603436072302
17,MathVerseNFT,0.017690603436072302
18,NFTGalIery,0.01760011051581994
19,TheMCACrypto,0.01760011051581994
20,Jumptradenft,0.01760011051581994
21,FerreNFT,0.017419124675317237
22,GbElrondCrypto,0.01678567423355965
23,Cryptofeather_,0.016695181313307068
24,Smart_NFT_News,0.016695181313307068
25,SharkyFi,0.01615222379179229
26,CheersUP_NFT,0.015971237951294025
27,THENFTSTAR,0.015880745031043756
28,0xSunNFT,0.015699759190546794
29,Dagoraxyz,0.015247294589259674
30,vigolar,0.014975815828482966
31,LazyLionsNFT,0.014342365386670518
32,SerCrypto_,0.01370891494485799
33,NFTgirl,0.01370891494485799
34,PyroNFT,0.013256450343563545
35,solnftradar,0.011627577778903601
36,OmniX_NFT,0.011175113177609207
37,WomenriseNFT,0.011175113177609207
38,OttoSuwenNFT,0.009274761852174384
39,GeoffreyHuntley,0.009093776011657811
40,SolSeaNFT,0.009003283091399052
41,0xElectricsheep,0.008731804330624728
42,NFT_LAUNCH,0.008369832649590785
43,ChimpersNFT,0.008098353888815036
44,LeonidasNFT,0.007645889287521085
45,KenzoNft7,0.004750115839284682
